sem_q_size,produce_size,num_of_iters,seq_time,threaded_time
100,10,10,0.466,0.852
100,10,10,0.304,0.656
100,10,10,0.315,0.588
100,10,10,0.324,0.564
100,10,1,0.279,0.524
100,10,1,0.277,0.526
100,10,1,0.372,0.551
100,10,1,0.279,0.513
100,10,1,0.279,0.546
1000,100,1,1.703,0.693
1000,100,1,1.688,0.694
1000,100,1,1.687,0.704
1000,100,1,1.715,0.693
10000,10,1,0.280,0.518
10000,10,1,0.281,0.532
10000,10,1,0.279,0.530
10000,10,1,0.282,0.551
10000,100,1,1.713,0.678
10000,100,1,1.951,0.803
10000,100,1,1.698,0.681
10000,100,1,1.691,0.739
10000,100,10,1.879,1.093
10000,100,10,1.697,1.159
10000,100,10,2.457,1.370
10000,100,10,1.683,1.126
10000,10,10,0.277,0.550
10000,10,10,0.331,0.639
10000,10,10,0.280,0.589
10000,10,10,0.280,0.574
10000,10000,10,161.417,63.375
10000,10000,10,164.846,67.172
10000,10000,10,173.591,65.233
10000,10000,10,174.275,65.058
